"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"1","& Other Stories","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"2","206 Collective","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"3","28 Palms","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"4","2XU","2XU","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"5","7Goals","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"6","A for Awesome","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"7","Abercrombie & Fitch","Abercrombie & Fitch","23","2","This is lower than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"8","Abercrombie Kids","Abercrombie & Fitch","23","2","This is lower than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"9","Abrand Jeans","ThreeByOne","34","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Some Progress","Limited Progress","No Evidence"
"10","Active Intent","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"11","Active Steps","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"12","Adidas","Adidas","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Some Progress","Good Progress","Good Progress"
"13","Aere","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"14","Afound","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"15","Agenda","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"16","AHG","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"17","Alan Pinkus","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"18","Aldi","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"19","Alice in the Eve","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"20","Allbirds","Allbirds","27","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Good Progress","Good Progress"
"21","Ally Fashion","Ally Fashion","7","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"22","Alpha","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"23","Alstyle","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"24","Alta Linea","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"25","Alternative Apparel","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"26","Altra","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"27","Amazon Basics","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"28","Amazon Essentials","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"29","Amber Rose","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"30","Amco","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"31","American Apparel","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"32","An'D","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"33","Anaconda","Spotlight Group","1","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"34","Anvil by Gildan","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"35","Arabella","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"36","Arket","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"37","ARROW","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"38","Artengo","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"39","Arthur Harvey","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"40","Article One","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"41","Arvust","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"42","AS Colour","AS COLOUR","66","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Good Progress","Some Progress","Good Progress","Some Progress"
